number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,state
73,0.8939063995009952,2026-07-25 21:06:04.090771,2026-07-25 21:12:58.578565,0 days 00:06:54.487794,relu,3.473997679473457e-05,64,0.0008295721250800567,2,224,384.0,,,COMPLETE
74,0.8885125452577587,2026-07-25 21:12:58.635093,2026-07-25 21:16:39.597765,0 days 00:03:40.962672,relu,3.992122745425064e-05,64,0.0010047013956233483,2,224,384.0,,,COMPLETE
75,0.8893861966234493,2026-07-26 06:34:13.184479,2026-07-26 06:36:26.068852,0 days 00:02:12.884373,relu,0.00018642898340584993,64,0.0006597833468001687,2,256,352.0,,,COMPLETE
76,0.8740750141401898,2026-07-26 06:36:26.091290,2026-07-26 06:37:03.660508,0 days 00:00:37.569218,relu,1.4372147400115104e-05,64,0.0004738167240835682,2,96,384.0,,,COMPLETE
77,0.8862580447786914,2026-07-26 06:37:03.692814,2026-07-26 06:40:22.161568,0 days 00:03:18.468754,relu,8.710806166042073e-05,128,0.0007927426494695427,2,288,352.0,,,COMPLETE
78,0.8697732963916058,2026-07-26 06:40:22.194404,2026-07-26 06:41:02.501387,0 days 00:00:40.306983,relu,5.404967079222682e-05,64,0.0008950482300605734,2,64,384.0,,,COMPLETE
79,0.8825399073062674,2026-07-26 06:41:02.535191,2026-07-26 06:44:04.745815,0 days 00:03:02.210624,relu,2.8140356683288853e-05,64,0.0011231994630008988,3,224,352.0,320.0,,COMPLETE
80,0.8714406975508797,2026-07-26 06:44:04.769626,2026-07-26 06:45:32.690721,0 days 00:01:27.921095,relu,0.00014039037476746842,64,0.0003779792596910193,2,128,320.0,,,COMPLETE
81,0.8615378120868827,2026-07-26 06:45:32.715875,2026-07-26 06:47:21.788662,0 days 00:01:49.072787,tanh,7.099147233945396e-06,64,0.0012245430203407218,2,192,384.0,,,COMPLETE
82,0.877894528742914,2026-07-26 06:47:21.823512,2026-07-26 06:50:10.228071,0 days 00:02:48.404559,tanh,0.00027780010891618903,64,0.0005148740249101933,2,224,352.0,,,COMPLETE
83,0.8881583195402665,2026-07-26 06:50:10.251750,2026-07-26 06:52:33.040004,0 days 00:02:22.788254,relu,1.5825697138156486e-05,64,0.0016053145302373526,2,224,320.0,,,COMPLETE
84,0.8719140552545047,2026-07-26 06:52:33.067045,2026-07-26 06:54:23.066740,0 days 00:01:49.999695,relu,0.00086289351041417,64,0.0006687857645743437,2,192,384.0,,,COMPLETE
85,0.8656046182030588,2026-07-26 06:54:23.089608,2026-07-26 06:55:09.799903,0 days 00:00:46.710295,relu,8.132131093278927e-05,64,0.0002306660584911592,2,128,64.0,,,COMPLETE
86,0.8676860171942233,2026-07-26 06:55:09.823639,2026-07-26 06:57:06.221754,0 days 00:01:56.398115,tanh,0.00018913128492468374,64,0.002750594492847376,2,256,384.0,,,COMPLETE
87,0.8730774980005411,2026-07-26 06:57:06.248777,2026-07-26 06:58:15.801122,0 days 00:01:09.552345,relu,1.8202983504851416e-06,64,0.0004061006384940148,2,128,352.0,,,COMPLETE
88,0.8543459939950726,2026-07-26 06:58:15.823681,2026-07-26 06:58:33.981072,0 days 00:00:18.157391,relu,0.00275356933978931,512,0.000889795358683924,2,96,96.0,,,COMPLETE
